Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2013-07-09 21:47:35,2013-07-10 06:08:16,82%,8:20,,,,0
2013-07-10 22:41:48,2013-07-11 06:31:05,78%,7:49,,,,0
2013-07-11 23:00:22,2013-07-12 06:31:27,75%,7:31,,,,0
2013-07-13 02:46:42,2013-07-13 10:15:02,74%,7:28,,,,0
2013-07-14 01:16:56,2013-07-14 09:47:04,83%,8:30,,,,0
2013-07-14 22:43:21,2013-07-15 06:36:03,61%,7:52,,,,0
2013-07-15 22:26:02,2013-07-16 06:41:12,80%,8:15,,,,0
2013-07-16 21:30:09,2013-07-17 06:47:30,81%,9:17,,,,0
2013-07-17 22:33:26,2013-07-18 06:22:23,47%,7:48,,,,0
2013-07-19 00:06:25,2013-07-19 06:43:06,67%,6:36,,,,0
2013-07-20 01:10:15,2013-07-20 08:27:58,55%,7:17,,,,0
2013-07-21 23:38:21,2013-07-22 06:03:16,61%,6:24,,,,0
2013-07-22 21:18:30,2013-07-23 06:38:46,82%,9:20,,,,0
2013-07-23 22:04:02,2013-07-24 06:29:13,75%,8:25,,,,0
2013-07-24 23:20:46,2013-07-25 06:40:26,75%,7:19,,,,0
2013-07-25 22:25:47,2013-07-26 06:32:14,85%,8:06,,,,0
2013-07-27 03:00:51,2013-07-27 08:40:21,61%,5:39,,,,0
2013-07-28 02:44:41,2013-07-28 10:57:15,73%,8:12,,,,0
2013-07-29 21:15:54,2013-07-30 06:22:09,72%,9:06,,,,0
2013-07-30 22:04:16,2013-07-31 06:27:35,36%,8:23,,,,0
2013-10-12 01:15:51,2013-10-12 06:47:25,59%,5:31,,,,0
2013-11-06 23:53:38,2013-11-07 08:14:41,91%,8:21,,,,0
2013-11-25 22:01:35,2013-11-26 06:06:24,88%,8:04,,,,0
2013-12-01 20:30:47,2013-12-02 06:09:50,95%,9:39,,,,0
2013-12-02 21:56:33,2013-12-03 06:08:12,89%,8:11,,,,0
2013-12-04 21:36:20,2013-12-05 06:05:47,89%,8:29,,,,0
2013-12-05 21:52:37,2013-12-06 06:10:19,80%,8:17,,,,0
2013-12-08 21:24:37,2013-12-09 06:05:18,92%,8:40,,,,0
2013-12-09 21:43:00,2013-12-10 06:08:11,84%,8:25,,,,0
2013-12-11 23:46:59,2013-12-12 08:09:26,89%,8:22,,,,0
2013-12-13 01:37:24,2013-12-13 08:58:06,79%,7:20,,,,0
2013-12-19 22:36:33,2013-12-20 06:10:28,82%,7:33,,,,0
2013-12-30 21:55:10,2013-12-31 06:14:38,93%,8:19,,,,0
2014-01-16 22:44:02,2014-01-17 08:03:27,96%,9:19,,,,0
2014-01-27 23:37:13,2014-01-28 06:39:43,75%,7:02,,,,0
2014-01-28 22:31:24,2014-01-29 06:39:53,83%,8:08,,,,0
2014-01-29 22:18:38,2014-01-30 06:39:50,89%,8:21,,,,0
2014-01-30 06:41:35,2014-01-30 08:18:16,13%,1:36,,,,0
2014-01-30 21:54:49,2014-01-31 06:17:54,91%,8:23,,,,0
2014-02-03 22:10:26,2014-02-04 06:20:11,88%,8:09,,,,0
2014-02-05 23:17:47,2014-02-06 06:29:50,79%,7:12,,,,0
2014-02-06 22:16:46,2014-02-07 06:29:25,89%,8:12,,,,0
2014-02-09 22:12:00,2014-02-10 06:22:47,87%,8:10,,,,0
2014-02-11 23:26:07,2014-02-12 08:16:34,96%,8:50,,,,0
2014-02-17 00:03:06,2014-02-17 08:19:02,73%,8:15,,,,0
2014-02-18 23:21:07,2014-02-19 06:20:31,71%,6:59,,,,0
2014-02-20 22:33:06,2014-02-21 06:25:27,83%,7:52,,,,0
2014-02-24 00:09:13,2014-02-24 07:59:19,86%,7:50,,,,0
2014-02-24 21:59:20,2014-02-25 06:22:24,91%,8:23,,,,0
2014-02-25 21:38:59,2014-02-26 06:29:19,96%,8:50,,,,0
2014-03-02 22:03:08,2014-03-03 06:23:11,91%,8:20,,,,0
2014-03-06 21:27:56,2014-03-07 06:07:29,90%,8:39,,,,0
2014-03-09 22:56:05,2014-03-10 05:06:16,67%,6:10,,,,0
2014-03-10 05:06:35,2014-03-10 06:38:53,14%,1:32,,,,0
2014-03-10 21:34:24,2014-03-11 06:39:55,98%,9:05,,,,0
2014-03-11 22:52:05,2014-03-12 06:39:47,85%,7:47,,,,0
2014-03-12 22:22:59,2014-03-13 06:38:53,91%,8:15,,,,0
2014-03-13 23:45:02,2014-03-14 06:34:07,72%,6:49,,,,0
2014-03-16 22:38:32,2014-03-17 06:34:09,87%,7:55,,,,0
2014-03-17 21:49:57,2014-03-18 06:39:02,94%,8:49,,,,0
2014-03-18 22:28:50,2014-03-19 06:39:44,91%,8:10,,,,0
2014-03-19 21:48:58,2014-03-20 06:26:33,93%,8:37,,,,0
2014-03-20 23:53:42,2014-03-21 08:04:04,87%,8:10,,,,0
2014-03-23 23:40:27,2014-03-24 07:30:16,92%,7:49,,,,0
2014-03-24 21:55:38,2014-03-25 06:23:38,94%,8:28,,,,0
2014-03-27 22:11:36,2014-03-28 06:33:14,93%,8:21,,,,0
2014-03-30 21:43:32,2014-03-31 06:29:32,97%,8:45,,,,0
2014-03-31 21:25:44,2014-04-01 06:39:11,99%,9:13,,,,0
2014-04-01 22:39:32,2014-04-02 06:54:46,91%,8:15,,,,0
2014-04-02 22:24:32,2014-04-03 06:28:24,89%,8:03,,,,0
2014-04-03 21:47:35,2014-04-04 03:49:10,66%,6:01,,,,0
2014-04-06 21:59:26,2014-04-07 06:22:33,91%,8:23,,,,0
2014-04-07 22:47:09,2014-04-08 06:44:52,87%,7:57,,,,0
2014-04-11 00:37:29,2014-04-11 06:16:22,65%,5:38,,,,0
2014-04-13 22:14:25,2014-04-14 06:40:06,94%,8:25,,,,0
2014-04-15 22:30:16,2014-04-16 06:36:18,88%,8:06,,,,0
2014-04-16 21:54:43,2014-04-17 06:54:48,96%,9:00,,,,0
2014-04-20 21:46:19,2014-04-21 06:32:02,97%,8:45,,,,0
2014-04-21 22:17:04,2014-04-22 06:07:05,89%,7:50,,,,0
2014-04-22 22:32:26,2014-04-23 06:48:14,92%,8:15,,,,0
2014-04-23 23:28:05,2014-04-24 06:04:05,70%,6:36,,,,0
2014-04-24 21:44:24,2014-04-25 06:16:56,93%,8:32,,,,0
2014-04-27 20:55:18,2014-04-28 06:25:14,96%,9:29,,,,0
2014-04-28 22:43:27,2014-04-29 07:39:15,93%,8:55,,,,0
2014-04-29 21:43:48,2014-04-30 06:43:44,83%,8:59,,,,0
2014-04-30 21:45:43,2014-05-01 06:43:05,95%,8:57,,,,0
2014-05-01 22:57:48,2014-05-02 06:20:30,80%,7:22,,,,0
2014-06-29 22:59:54,2014-06-30 07:40:24,84%,8:40,,,,6079
2014-06-30 22:00:31,2014-07-01 06:49:57,79%,8:49,,,,5192
2014-07-09 23:09:37,2014-07-10 08:00:44,83%,8:51,,,,10043
2014-07-17 00:04:45,2014-07-17 08:32:44,92%,8:27,,,,9106
2014-07-17 22:45:10,2014-07-18 07:00:55,91%,8:15,,,,3364
2014-07-23 00:48:15,2014-07-23 07:17:29,70%,6:29,,,,4962
2014-07-23 23:22:21,2014-07-24 08:18:10,94%,8:55,,,,4420
2014-07-25 00:34:12,2014-07-25 08:35:56,84%,8:01,,,,3777
2014-07-27 23:04:38,2014-07-28 08:13:54,100%,9:09,,,,10291
2014-07-29 00:06:21,2014-07-29 07:56:23,69%,7:50,,,,2714
2014-07-29 23:49:08,2014-07-30 07:43:09,84%,7:54,,,,1824
2014-07-30 23:11:59,2014-07-31 08:27:59,91%,9:15,,,,4161
2014-08-03 20:08:21,2014-08-04 06:52:40,77%,10:44,,,,3780
2014-08-05 23:00:53,2014-08-06 08:19:54,82%,9:19,,,,6968
2014-08-07 00:11:45,2014-08-07 07:16:28,75%,7:04,,,,4325
2014-08-07 21:50:04,2014-08-08 07:41:26,95%,9:51,,,,5632
2014-08-10 21:39:47,2014-08-11 07:26:22,95%,9:46,,,,3936
2014-08-11 23:10:05,2014-08-12 07:26:08,89%,8:16,,,,9573
2014-08-12 23:20:12,2014-08-13 07:42:13,91%,8:22,,,,3964
2014-08-14 00:25:51,2014-08-14 08:26:43,85%,8:00,,,,5391
2014-08-14 22:30:46,2014-08-15 08:37:25,89%,10:06,,,,9885
2014-08-21 00:16:12,2014-08-21 08:06:03,86%,7:49,,,,2910
2014-08-22 01:24:38,2014-08-22 08:54:01,81%,7:29,,,,8795
2014-08-24 23:35:16,2014-08-25 08:26:32,95%,8:51,,,,13245
2014-08-26 23:32:29,2014-08-27 08:00:49,90%,8:28,,,,2800
2014-08-27 23:26:34,2014-08-28 07:22:33,85%,7:55,,,,2370
2014-08-29 02:16:26,2014-08-29 09:06:12,75%,6:49,,,,6398
2014-09-03 23:13:36,2014-09-04 07:29:36,86%,8:15,,,,3207
2014-09-08 23:57:05,2014-09-09 08:17:43,89%,8:20,,,,5441
2014-09-11 00:01:45,2014-09-11 08:31:36,80%,8:29,,,,4792
2014-09-11 23:00:09,2014-09-12 08:51:35,94%,9:51,,,,4857
2014-09-13 18:53:14,2014-09-13 20:08:01,15%,1:14,,,,8530
2014-09-14 23:48:06,2014-09-15 08:09:54,90%,8:21,,,,8243
2014-09-16 00:49:47,2014-09-16 08:38:50,83%,7:49,,,,5480
2014-09-16 23:30:57,2014-09-17 08:30:26,96%,8:59,,,,5150
2014-09-18 00:02:31,2014-09-18 08:39:15,95%,8:36,,,,3627
2014-09-19 00:30:35,2014-09-19 07:38:24,77%,7:07,,,,8176
2014-09-23 23:34:30,2014-09-24 07:54:54,90%,8:20,,,,3935
2014-10-06 23:10:19,2014-10-07 08:02:36,97%,8:52,,,,8894
2014-10-11 00:17:28,2014-10-11 08:25:20,89%,8:07,,,,4317
2014-10-13 23:34:32,2014-10-14 08:10:55,92%,8:36,,,,8978
2014-10-14 22:54:48,2014-10-15 07:26:05,90%,8:31,,,,6448
2014-10-15 23:51:04,2014-10-16 07:40:27,83%,7:49,,,,7930
2014-10-17 00:27:41,2014-10-17 08:15:13,78%,7:47,,,,5806
2014-10-18 00:16:55,2014-10-18 08:30:22,87%,8:13,,,,4595
2014-10-19 02:51:45,2014-10-19 09:22:21,69%,6:30,,,,14156
